name,week,manager,position,roster_position,points,2-PT,Blk Kick,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,Fum Lost,Fum Rec,Fum Ret TD,Int,PAT Made,Pass TD,Pass Yds,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allow 35+,Pts Allow 7-13,Rec,Rec TD,Rec Yds,Ret TD,Rush Att,Rush TD,Rush Yds,Sack,Safe,TD,Targets,XPR
Josh Allen,1,Brimbry,QB,QB,17.2,0,,,,,,,1,,0,0,,1,270,,,,,,,,,0,0,0,0,9,0,44,,,,0,
Stefon Diggs,1,Brimbry,WR,WR,11.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,9,0,69,0,0,0,0,,,,13,
A.J. Brown,1,Brimbry,WR,WR,12.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,1,49,0,0,0,0,,,,8,
Jonathan Taylor,1,Brimbry,RB,RB,14.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,0,60,0,17,0,56,,,,7,
Ty'Son Williams,1,Brimbry,RB,RB,16.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,29,0,9,1,65,,,,4,
Noah Fant,1,Brimbry,TE,TE,9.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,0,62,0,0,0,0,,,,8,
Jerry Jeudy,1,Brimbry,WR,W/R/T,10.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,0,72,0,0,0,0,,,,7,
Odell Beckham Jr.,1,Brimbry,WR,BN,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
D'Andre Swift,1,Brimbry,RB,BN,20.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,8,1,65,0,11,0,39,,,,11,
Jaylen Waddle,1,Brimbry,WR,BN,14.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,1,61,0,0,0,0,,,,5,
Trevor Lawrence,1,Brimbry,QB,BN,22.08,0,,,,,,,0,,0,3,,3,332,,,,,,,,,0,0,0,0,1,0,-2,,,,0,
Mike Gesicki,1,Brimbry,TE,BN,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,3,
Devin Singletary,1,Brimbry,RB,BN,9.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,8,0,11,0,72,,,,5,
Tyler Bass,1,Brimbry,K,K,11.0,,,0,1,1,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Tampa Bay,1,Brimbry,DEF,DEF,2.0,,0,,,,,,,0,,1,,,,29,0,0,0,0,1,0,0,,,,0,,,,1,0,0,,0
Kyler Murray,1,David,QB,QB,34.56,0,,,,,,,0,,0,1,,4,289,,,,,,,,,0,0,0,0,5,1,20,,,,0,
DeAndre Hopkins,1,David,WR,WR,23.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,2,83,0,0,0,0,,,,8,
Amari Cooper,1,David,WR,WR,32.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,13,2,139,0,0,0,0,,,,17,
Joe Mixon,1,David,RB,RB,23.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,0,23,0,29,1,127,,,,4,
Antonio Gibson,1,David,RB,RB,10.3,0,,,,,,,1,,0,0,,0,0,,,,,,,,,3,0,18,0,20,0,90,,,,5,
Tyler Higbee,1,David,TE,TE,9.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,68,0,0,0,0,,,,6,
Darrell Henderson Jr.,1,David,RB,W/R/T,15.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,17,0,16,1,70,,,,1,
Robby Anderson,1,David,WR,BN,12.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,1,57,0,0,0,0,,,,3,
Brandon Aiyuk,1,David,WR,BN,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
Corey Davis,1,David,WR,BN,24.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,2,97,0,0,0,0,,,,7,
Trey Lance,1,David,QB,BN,4.4,0,,,,,,,0,,0,0,,1,5,,,,,,,,,0,0,0,0,3,0,2,,,,0,
Darnell Mooney,1,David,WR,BN,5.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,26,0,0,0,0,,,,7,
James White,1,David,RB,BN,9.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,0,49,0,4,0,12,,,,7,
Daniel Carlson,1,David,K,K,11.0,,,0,0,1,0,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,
New England,1,David,DEF,DEF,5.0,,0,,,,,,,0,,1,,,,17,0,0,1,0,0,0,0,,,,0,,,,2,0,0,,0
Michael Thomas,1,David,WR,IR,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
Matthew Stafford,1,Steve-Dave,QB,QB,24.34,0,,,,,,,0,,0,0,,3,321,,,,,,,,,0,0,0,0,5,0,-5,,,,0,
Cooper Kupp,1,Steve-Dave,WR,WR,20.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,7,1,108,0,0,0,0,,,,10,
Adam Thielen,1,Steve-Dave,WR,WR,25.7,0,,,,,,,0,,0,0,,0,0,,,,,,,,,9,2,92,0,0,0,0,,,,10,
Nick Chubb,1,Steve-Dave,RB,RB,21.1,0,,,,,,,1,,0,0,,0,0,,,,,,,,,2,0,18,0,15,2,83,,,,2,
Christian McCaffrey,1,Steve-Dave,RB,RB,23.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,9,0,89,0,21,0,98,,,,9,
Travis Kelce,1,Steve-Dave,TE,TE,22.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,2,76,0,0,0,0,,,,7,
Chase Edmonds,1,Steve-Dave,RB,W/R/T,12.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,0,43,0,12,0,63,,,,4,
